date,Month,Day,location,population
2021-06-07,6,7,1,479721
2021-06-07,6,7,2,1465812
2021-06-07,6,7,3,484163
2021-06-07,6,7,4,314722
2021-06-06,6,6,0,1737119
2021-06-06,6,6,1,479721
2021-06-06,6,6,2,1465812
2021-06-06,6,6,3,484163
2021-06-06,6,6,4,314722
2021-06-05,6,5,0,1737119
2021-06-05,6,5,1,479721
2021-06-05,6,5,2,1465812
2021-06-05,6,5,3,484163
2021-06-05,6,5,4,314722
2021-06-04,6,4,0,1737119
2021-06-04,6,4,1,479721
2021-06-04,6,4,2,1465812
2021-06-04,6,4,3,484163
2021-06-04,6,4,4,314722
2021-06-03,6,3,0,1737119
2021-06-03,6,3,1,479721
2021-06-03,6,3,2,1465812
2021-06-03,6,3,3,484163
2021-06-03,6,3,4,314722
2021-06-02,6,2,0,1737119
2021-06-02,6,2,1,479721
2021-06-02,6,2,2,1465812
2021-06-02,6,2,3,484163
2021-06-02,6,2,4,314722
2021-06-01,6,1,0,1737119
2021-06-01,6,1,1,479721
2021-06-01,6,1,2,1465812
2021-06-01,6,1,3,484163
2021-06-01,6,1,4,314722
2021-05-31,5,31,0,1737119
2021-05-31,5,31,1,479721
2021-05-31,5,31,2,1465812
2021-05-31,5,31,3,484163
2021-05-31,5,31,4,314722
2021-05-30,5,30,0,1737119
2021-05-30,5,30,1,479721
2021-05-30,5,30,2,1465812
2021-05-30,5,30,3,484163
2021-05-30,5,30,4,314722
2021-05-29,5,29,0,1737119
2021-05-29,5,29,1,479721
2021-05-29,5,29,2,1465812
2021-05-29,5,29,3,484163
2021-05-29,5,29,4,314722
2021-05-28,5,28,0,1737119
2021-05-28,5,28,1,479721
2021-05-28,5,28,2,1465812
2021-05-28,5,28,3,484163
2021-05-28,5,28,4,314722
2021-05-27,5,27,0,1737119
2021-05-27,5,27,1,479721
2021-05-27,5,27,2,1465812
2021-05-27,5,27,3,484163
2021-05-27,5,27,4,314722
2021-05-26,5,26,0,1737119
2021-05-26,5,26,1,479721
2021-05-26,5,26,2,1465812
2021-05-26,5,26,3,484163
2021-05-26,5,26,4,314722
2021-05-25,5,25,0,1737119
2021-05-25,5,25,1,479721
2021-05-25,5,25,2,1465812
2021-05-25,5,25,3,484163
2021-05-25,5,25,4,314722
2021-05-24,5,24,0,1737119
2021-05-24,5,24,1,479721
2021-05-24,5,24,2,1465812
2021-05-24,5,24,3,484163
2021-05-24,5,24,4,314722
2021-05-23,5,23,0,1737119
2021-05-23,5,23,1,479721
2021-05-23,5,23,2,1465812
2021-05-23,5,23,3,484163
2021-05-23,5,23,4,314722
2021-05-22,5,22,0,1737119
2021-05-22,5,22,1,479721
2021-05-22,5,22,2,1465812
2021-05-22,5,22,3,484163
2021-05-22,5,22,4,314722
2021-05-21,5,21,0,1737119
2021-05-21,5,21,1,479721
2021-05-21,5,21,2,1465812
2021-05-21,5,21,3,484163
2021-05-21,5,21,4,314722
2021-05-20,5,20,0,1737119
2021-05-20,5,20,1,479721
2021-05-20,5,20,2,1465812
2021-05-20,5,20,3,484163
2021-05-20,5,20,4,314722
2021-05-19,5,19,0,1737119
2021-05-19,5,19,1,479721
2021-05-19,5,19,2,1465812
2021-05-19,5,19,3,484163
2021-05-19,5,19,4,314722
2021-05-18,5,18,0,1737119
2021-05-18,5,18,1,479721
2021-05-18,5,18,2,1465812
2021-05-18,5,18,3,484163
2021-05-18,5,18,4,314722
2021-05-17,5,17,0,1737119
2021-05-17,5,17,1,479721
2021-05-17,5,17,2,1465812
2021-05-17,5,17,3,484163
2021-05-17,5,17,4,314722
2021-05-16,5,16,0,1737119
2021-05-16,5,16,1,479721
2021-05-16,5,16,2,1465812
2021-05-16,5,16,3,484163
2021-05-16,5,16,4,314722
2021-05-15,5,15,0,1734169
2021-05-15,5,15,1,478116
2021-05-15,5,15,2,1462199
2021-05-15,5,15,3,482199
2021-05-15,5,15,4,313960
2021-05-14,5,14,0,1734169
2021-05-14,5,14,1,478116
2021-05-14,5,14,2,1462199
2021-05-14,5,14,3,482199
2021-05-14,5,14,4,313960
2021-05-13,5,13,0,1734169
2021-05-13,5,13,1,478116
2021-05-13,5,13,2,1462199
2021-05-13,5,13,3,482199
2021-05-13,5,13,4,313960
2021-05-12,5,12,0,1734169
2021-05-12,5,12,1,478116
2021-05-12,5,12,2,1462199
2021-05-12,5,12,3,482199
2021-05-12,5,12,4,313960
2021-05-11,5,11,0,1734169
2021-05-11,5,11,1,478116
2021-05-11,5,11,2,1462199
2021-05-11,5,11,3,482199
2021-05-11,5,11,4,313960
2021-05-10,5,10,0,1734169
2021-05-10,5,10,1,478116
2021-05-10,5,10,2,1462199
2021-05-10,5,10,3,482199
2021-05-10,5,10,4,313960
2021-05-09,5,9,0,1734169
2021-05-09,5,9,1,478116
2021-05-09,5,9,2,1462199
2021-05-09,5,9,3,482199
